?LÇE ADI;SKOR
?i?li;7,73
Be?ikta?;6,365
Kad?köy;4,678
Bak?rköy;4,457
Fatih;3,501
Tuzla;2,78
Ba?ak?ehir;2,67
Ümraniye;2,656
Beyo?lu;2,602
Üsküdar;2,57
Ata?ehir;2,402
Büyükçekmece;2,278
Sar?yer;2,166
Beylikdüzü;2,163
Esenyurt;2,074
Bahçelievler;2,042
Zeytinburnu;2,027
Ba?c?lar;2,012
Küçükçekmece;1,955
Maltepe;1,928
Pendik;1,906
Bayrampa?a;1,855
Beykoz;1,812
Kartal;1,804
Ka??thane;1,692
Adalar;1,688
Güngören;1,628
Eyüp;1,608
Silivri;1,518
Avc?lar;1,451
Gaziosmanpa?a;1,378
?ile;1,259
Çekmeköy;1,208
Çatalca;1,015
Sancaktepe;1,003
Esenler;0,936
Sultanbeyli;0,645
Sultangazi;0,583
Arnavutköy;0,47
